Rk,Season,Team,Comp,xG,MP,W,D,L,Pts,Pts/MP,Min,Subs,LgRank,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
11,2024-2025,Brighton,eng Premier League,58.7,38,16,13,9,61,1.61,3420,184,8,66,59,+7,52.3,8,21.1,57,7,7,0,58.7,53.3,+4.1,+5.6,40.4,39.1,+5.3,+3.7,+0.6,0.10,526,0.11,0.31,183,34.8,17.2,25
12,2024-2025,Tottenham,eng Premier League,58.8,38,11,5,22,38,1.00,3420,158,17,64,65,-1,54.7,6,15.8,58,3,4,1,58.8,55.7,-4.5,-5.3,44.4,36.3,+2.2,+2.3,+2.6,0.12,493,0.12,0.33,177,35.9,16.0,13
13,2024-2025,Brentford,eng Premier League,59.0,38,16,8,14,56,1.47,3420,142,10,66,57,+9,47.9,8,21.1,60,5,6,1,59.0,54.4,+3.6,-0.3,42.4,38.1,+6.0,+5.6,+1.6,0.13,434,0.14,0.35,173,39.9,14.9,10
14,2024-2025,Arsenal,eng Premier League,59.9,38,20,14,4,74,1.95,3420,142,2,69,34,+35,56.9,13,34.2,65,2,2,0,59.9,58.4,+25.5,+26.3,45.3,45.7,+7.1,+6.6,+9.7,0.11,544,0.12,0.37,178,32.7,15.1,10
15,2024-2025,Crystal Palace,eng Premier League,60.4,38,13,14,11,53,1.39,3420,148,12,51,51,0,42.8,11,28.9,46,3,4,1,60.4,57.3,+11.3,+9.7,46.4,36.6,-11.4,-11.3,-8.4,0.11,512,0.09,0.26,175,34.2,16.8,19
16,2024-2025,Newcastle Utd,eng Premier League,63.8,38,20,6,12,66,1.74,3420,163,5,68,47,+21,51.3,13,34.2,61,5,6,1,63.8,59.5,+18.3,+15.5,46.0,42.2,+2.2,+1.5,+4.0,0.12,519,0.12,0.37,163,31.4,15.9,14
17,2024-2025,Bournemouth,eng Premier League,64.0,38,15,11,12,56,1.47,3420,162,9,58,46,+12,48.5,9,23.7,51,6,7,1,64.0,58.5,+15.5,+13.2,43.8,36.5,-7.0,-7.5,-2.8,0.10,574,0.09,0.27,192,33.4,16.7,10
18,2024-2025,Chelsea,eng Premier League,67.8,38,20,9,9,69,1.82,3420,140,4,64,43,+21,57.1,11,28.9,57,4,5,1,67.8,63.8,+20.5,+21.3,52.7,41.8,-6.8,-6.8,-5.7,0.11,590,0.10,0.28,203,34.4,16.7,17
19,2024-2025,Manchester City,eng Premier League,68.1,38,21,8,9,71,1.87,3420,131,3,72,44,+28,61.3,13,34.2,68,3,4,1,68.1,64.9,+20.4,+20.3,54.2,53.8,+2.9,+3.1,-3.2,0.11,603,0.11,0.33,208,34.5,16.9,21
20,2024-2025,Liverpool,eng Premier League,82.2,38,25,9,4,84,2.21,3420,165,1,86,41,+45,57.7,14,36.8,76,9,9,0,82.2,75.2,+43.6,+38.4,61.6,54.3,+2.8,+0.8,+3.4,0.12,639,0.12,0.35,215,33.6,15.9,11
