Rk,Season,Team,Comp,xG,MP,W,D,L,Pts,Pts/MP,Min,Subs,LgRank,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,2024-2025,Leicester City,eng Premier League,32.6,38,6,7,25,25,0.66,3420,168,18,33,80,-47,45.4,3,7.9,31,2,3,1,32.6,30.4,-39.3,-38.4,25.1,24.1,+0.4,+0.6,-0.1,0.09,332,0.09,0.30,105,31.6,17.3,8
2,2024-2025,Southampton,eng Premier League,32.7,38,2,6,30,12,0.32,3420,180,20,26,86,-60,48.5,3,7.9,25,0,2,2,32.7,30.9,-52.1,-47.0,24.8,23.9,-7.7,-5.9,-8.8,0.09,341,0.07,0.24,106,31.1,16.3,7
3,2024-2025,Ipswich Town,eng Premier League,34.4,38,4,10,24,22,0.58,3420,178,19,36,82,-46,40.6,2,5.3,33,2,2,0,34.4,32.8,-38.3,-35.5,24.2,21.2,+0.6,+0.2,+1.8,0.09,374,0.09,0.28,120,32.1,17.7,10
4,2024-2025,Everton,eng Premier League,41.8,38,11,15,12,48,1.26,3420,130,13,42,44,-2,40.9,12,31.6,37,2,2,0,41.8,40.2,-4.5,-4.4,32.2,27.2,-2.8,-3.2,-5.2,0.10,404,0.09,0.27,139,34.4,16.8,11
5,2024-2025,Wolves,eng Premier League,43.7,38,12,6,20,42,1.11,3420,167,16,54,69,-15,48.1,8,21.1,53,0,0,0,43.7,43.7,-14.5,-7.4,35.4,26.6,+9.3,+9.3,+6.6,0.10,431,0.12,0.34,155,36.0,18.1,18
6,2024-2025,Nott'ham Forest,eng Premier League,45.5,38,19,8,11,65,1.71,3420,167,7,58,46,+12,41.2,13,34.2,54,3,3,0,45.5,43.2,-3.4,-3.4,33.0,29.9,+11.5,+10.8,+9.0,0.10,460,0.12,0.33,162,35.2,17.5,15
7,2024-2025,West Ham,eng Premier League,47.0,38,11,10,17,43,1.13,3420,172,14,46,62,-16,48.4,7,18.4,40,3,3,0,47.0,44.7,-12.7,-12.7,33.9,32.0,-4.0,-4.7,-4.9,0.10,473,0.08,0.29,137,29.0,16.3,14
8,2024-2025,Fulham,eng Premier League,49.0,38,15,9,14,54,1.42,3420,179,11,54,54,0,52.3,5,13.2,50,3,4,1,49.0,45.9,+1.8,+1.8,37.5,35.0,+4.0,+4.1,+6.5,0.09,516,0.10,0.30,167,32.4,16.4,10
9,2024-2025,Manchester Utd,eng Premier League,52.6,38,11,9,18,42,1.11,3420,161,15,44,54,-10,53.5,10,26.3,38,4,4,0,52.6,49.4,-1.3,-1.3,39.7,35.6,-10.6,-11.4,-10.7,0.10,524,0.07,0.23,168,32.1,17.4,15
10,2024-2025,Aston Villa,eng Premier League,56.1,38,19,9,10,66,1.74,3420,170,6,58,51,+7,50.5,9,23.7,53,3,6,3,56.1,51.3,+5.9,+3.5,41.7,36.9,-0.1,+1.7,+3.3,0.11,478,0.11,0.33,159,33.3,16.3,12
