Rk,Season,Team,Comp,xG,MP,W,D,L,Pts,Pts/MP,Min,Subs,LgRank,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
11,2020-2021,Arsenal,eng Premier League,51.7,38,18,7,13,61,1.61,3420,114,8,55,39,+16,53.5,12,31.6,47,6,6,0,51.7,47.0,+8.8,+6.4,35.1,35.3,+1.3,0.0,+2.9,0.11,453,0.10,0.34,140,30.9,17.7,23
12,2020-2021,Aston Villa,eng Premier League,52.5,38,16,7,15,55,1.45,3420,91,11,55,46,+9,48.5,15,39.5,47,5,6,1,52.5,47.9,+1.5,+1.5,37.4,31.4,-0.5,-0.9,+0.6,0.10,514,0.09,0.26,178,34.6,17.3,16
13,2020-2021,Tottenham,eng Premier League,53.1,38,18,8,12,62,1.63,3420,112,7,68,45,+23,51.6,12,31.6,61,5,5,0,53.1,49.2,+4.0,+7.9,35.3,25.3,+12.9,+11.8,+14.7,0.12,438,0.14,0.37,167,38.1,18.0,35
14,2020-2021,West Ham,eng Premier League,55.4,38,19,8,11,65,1.71,3420,99,6,62,47,+15,43.2,11,28.9,58,2,4,2,55.4,52.1,+6.7,+7.3,39.6,31.9,+4.6,+5.9,+6.4,0.12,464,0.13,0.37,158,34.1,16.1,17
15,2020-2021,Leeds United,eng Premier League,55.6,38,18,5,15,59,1.55,3420,107,9,62,54,+8,57.3,12,31.6,56,4,4,0,55.6,52.5,-2.2,+1.8,41.9,34.4,+4.4,+3.5,+3.1,0.10,518,0.11,0.29,193,37.3,16.9,9
16,2020-2021,Leicester City,eng Premier League,55.8,38,20,6,12,66,1.74,3420,99,5,68,50,+18,54.3,11,28.9,54,10,12,2,55.8,46.3,+9.8,+3.5,33.7,30.1,+8.2,+7.7,+11.3,0.10,473,0.11,0.32,170,35.9,18.6,20
17,2020-2021,Manchester Utd,eng Premier League,60.1,38,21,11,6,74,1.95,3420,99,2,73,44,+29,55.7,13,34.2,60,10,11,1,60.1,51.4,+18.6,+13.1,41.6,38.2,+9.9,+8.6,+9.4,0.10,515,0.12,0.31,196,38.1,18.1,21
18,2020-2021,Chelsea,eng Premier League,62.4,38,19,10,9,67,1.76,3420,108,4,58,36,+22,60.9,18,47.4,48,8,10,2,62.4,54.5,+32.1,+27.4,41.5,37.1,-6.4,-6.5,-3.5,0.10,546,0.09,0.25,193,35.3,17.1,16
19,2020-2021,Liverpool,eng Premier League,67.5,38,20,9,9,69,1.82,3420,104,3,68,42,+26,62.1,12,31.6,59,6,6,0,67.5,62.9,+24.5,+26.0,48.3,45.6,-2.5,-3.9,-5.3,0.11,602,0.10,0.29,204,33.9,17.1,22
20,2020-2021,Manchester City,eng Premier League,68.2,38,27,5,6,86,2.26,3420,77,1,83,32,+51,63.5,19,50.0,77,5,9,4,68.2,61.2,+38.0,+38.9,45.4,43.3,+13.8,+15.8,+9.6,0.11,590,0.13,0.36,211,35.8,17.2,21
