Rk,Season,Team,Comp,xG,MP,W,D,L,Pts,Pts/MP,Min,Subs,LgRank,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,2020-2021,Sheffield Utd,eng Premier League,32.6,38,7,2,29,23,0.61,3420,103,20,20,63,-43,41.7,5,13.2,16,3,4,1,32.6,29.5,-29.6,-29.6,24.9,22.0,-13.6,-13.5,-11.9,0.09,319,0.05,0.17,92,28.8,17.7,5
2,2020-2021,Crystal Palace,eng Premier League,34.1,38,12,8,18,44,1.16,3420,95,14,41,66,-25,40.6,8,21.1,36,3,4,1,34.1,31.0,-24.2,-24.1,23.6,23.4,+4.9,+5.0,+5.4,0.09,345,0.10,0.28,127,36.8,17.6,18
3,2020-2021,West Brom,eng Premier League,35.8,38,5,11,22,26,0.68,3420,104,19,35,76,-41,37.9,6,15.8,29,4,4,0,35.8,32.7,-32.0,-26.6,24.4,21.3,-2.8,-3.7,-4.4,0.10,335,0.09,0.27,106,31.6,18.4,16
4,2020-2021,Wolves,eng Premier League,36.5,38,12,9,17,45,1.18,3420,106,13,36,52,-16,49.3,10,26.3,30,4,4,0,36.5,33.4,-13.0,-9.8,24.1,23.9,-2.5,-3.4,-3.1,0.08,459,0.07,0.20,149,32.5,18.5,18
5,2020-2021,Burnley,eng Premier League,39.3,38,10,9,19,39,1.03,3420,81,17,33,55,-22,42.1,11,28.9,29,3,3,0,39.3,36.9,-15.4,-15.4,27.7,26.9,-7.3,-7.9,-7.7,0.10,381,0.08,0.23,124,32.5,17.4,15
6,2020-2021,Fulham,eng Premier League,40.5,38,5,13,20,28,0.74,3420,110,18,27,53,-26,49.7,9,23.7,23,3,6,3,40.5,35.9,-12.1,-11.2,26.3,25.3,-14.5,-12.9,-8.3,0.08,436,0.05,0.18,125,28.7,18.3,12
7,2020-2021,Southampton,eng Premier League,41.2,38,12,7,19,43,1.13,3420,101,15,47,68,-21,52.0,9,23.7,42,5,6,1,41.2,36.6,-11.8,-9.5,25.8,22.2,+5.8,+5.4,+7.2,0.09,418,0.10,0.27,157,37.6,18.6,20
8,2020-2021,Newcastle Utd,eng Premier League,43.4,38,12,9,17,45,1.18,3420,109,12,46,62,-16,38.8,7,18.4,38,6,7,1,43.4,37.8,-14.9,-16.6,29.0,21.1,+0.6,+0.2,-3.0,0.10,390,0.10,0.29,130,33.3,18.3,25
9,2020-2021,Everton,eng Premier League,45.7,38,17,8,13,59,1.55,3420,106,10,47,48,-1,46.4,12,31.6,41,4,5,1,45.7,41.9,-4.5,-5.0,30.7,28.7,-0.7,-0.9,+1.3,0.11,395,0.10,0.29,143,36.2,17.2,15
10,2020-2021,Brighton,eng Premier League,50.9,38,9,14,15,41,1.08,3420,108,16,40,46,-6,51.1,12,31.6,33,6,9,3,50.9,43.8,+15.6,+14.0,33.2,34.9,-11.9,-10.8,-9.2,0.09,478,0.07,0.25,134,28.0,17.4,15
