Rk,Season,Team,Comp,xG,MP,W,D,L,Pts,Pts/MP,Min,Subs,LgRank,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,2022-2023,Wolves,eng Premier League,36.8,38,11,8,19,41,1.08,3420,165,13,31,58,-27,49.9,11,28.9,25,3,3,0,36.8,34.5,-23.0,-22.2,25.4,21.0,-8.8,-9.5,-13.4,0.09,409,0.06,0.21,119,29.1,18.0,18
2,2022-2023,Southampton,eng Premier League,37.8,38,6,7,25,25,0.66,3420,175,20,36,73,-37,44.5,4,10.5,34,2,4,2,37.8,34.6,-23.0,-23.9,28.1,26.0,-1.8,-0.6,-3.1,0.09,413,0.08,0.26,132,32.0,18.1,17
3,2022-2023,Bournemouth,eng Premier League,38.5,38,11,6,21,39,1.03,3420,141,15,37,71,-34,40.4,8,21.1,37,0,0,0,38.5,38.5,-25.3,-19.9,28.4,26.3,-1.5,-1.5,-4.4,0.11,358,0.10,0.29,126,35.2,15.5,14
4,2022-2023,Crystal Palace,eng Premier League,39.3,38,11,12,15,45,1.18,3420,138,11,40,49,-9,46.3,9,23.7,37,1,3,2,39.3,36.8,-8.8,-8.1,29.0,23.8,-1.3,+0.2,0.0,0.09,423,0.09,0.28,133,31.4,17.6,23
5,2022-2023,Nott'ham Forest,eng Premier League,39.3,38,9,11,18,38,1.00,3420,159,16,38,68,-30,37.6,8,21.1,33,3,6,3,39.3,34.6,-24.9,-22.8,26.3,20.5,-3.3,-1.6,-4.3,0.10,362,0.09,0.30,111,30.7,17.2,9
6,2022-2023,Everton,eng Premier League,45.2,38,8,12,18,36,0.95,3420,116,17,34,57,-23,42.8,9,23.7,29,3,3,0,45.2,42.8,-20.4,-18.1,32.4,26.9,-13.2,-13.8,-8.4,0.10,426,0.07,0.20,143,33.6,16.8,12
7,2022-2023,Fulham,eng Premier League,46.2,38,15,7,16,52,1.37,3420,152,10,55,53,+2,48.8,9,23.7,47,5,9,4,46.2,39.1,-17.4,-18.6,28.5,23.7,+5.8,+7.9,+4.5,0.10,420,0.11,0.34,137,32.6,17.3,17
8,2022-2023,Leeds United,eng Premier League,47.3,38,7,10,21,31,0.82,3420,157,19,48,78,-30,47.0,5,13.2,44,1,3,2,47.3,44.9,-19.8,-17.5,31.8,27.3,-2.3,-0.9,-0.8,0.10,459,0.10,0.31,141,30.7,16.6,19
9,2022-2023,West Ham,eng Premier League,49.2,38,11,7,20,40,1.05,3420,132,14,42,55,-13,42.1,9,23.7,35,6,8,2,49.2,43.7,-3.9,-4.7,32.7,26.8,-8.2,-8.7,-7.7,0.10,466,0.08,0.26,133,28.5,17.3,13
10,2022-2023,Chelsea,eng Premier League,49.5,38,11,11,16,44,1.16,3420,173,12,38,47,-9,58.7,10,26.3,34,3,3,0,49.5,47.2,-3.0,-4.5,38.6,35.3,-12.5,-13.2,-11.6,0.10,481,0.07,0.23,151,31.4,16.8,10
11,2022-2023,Aston Villa,eng Premier League,50.3,38,18,7,13,61,1.61,3420,144,7,51,46,+5,49.3,12,31.6,46,3,4,1,50.3,47.2,-2.2,-0.7,38.8,31.6,-1.3,-1.2,-3.8,0.11,427,0.11,0.32,145,34.0,18.0,18
12,2022-2023,Leicester City,eng Premier League,50.5,38,9,7,22,34,0.89,3420,138,18,51,68,-17,47.7,7,18.4,46,3,6,3,50.5,45.7,-12.8,-14.1,38.4,26.3,-1.5,+0.3,-2.4,0.11,412,0.11,0.32,142,34.5,17.7,14
13,2022-2023,Brentford,eng Premier League,56.3,38,15,14,9,59,1.55,3420,171,9,58,46,+12,43.8,12,31.6,49,7,8,1,56.3,50.1,+7.5,+2.5,38.4,30.5,-0.3,-1.1,-2.4,0.13,400,0.12,0.33,147,36.8,15.7,14
14,2022-2023,Tottenham,eng Premier League,57.0,38,18,6,14,60,1.58,3420,140,8,70,63,+7,50.0,10,26.3,63,5,6,1,57.0,52.3,+7.4,+5.8,43.0,34.0,+11.0,+10.7,+3.0,0.10,512,0.12,0.34,186,36.3,16.7,14
15,2022-2023,Manchester Utd,eng Premier League,67.7,38,23,6,9,75,1.97,3420,149,3,58,43,+15,53.7,17,44.7,53,3,3,0,67.7,65.3,+17.3,+17.3,52.2,44.6,-11.7,-12.3,-10.2,0.11,590,0.09,0.26,206,34.9,17.8,20
16,2022-2023,Liverpool,eng Premier League,71.5,38,19,10,9,67,1.76,3420,164,5,75,47,+28,60.8,14,36.8,69,2,4,2,71.5,68.4,+20.7,+20.5,55.6,52.3,-0.5,+0.6,+2.4,0.12,601,0.11,0.34,203,33.8,16.2,7
17,2022-2023,Arsenal,eng Premier League,71.6,38,26,6,6,84,2.21,3420,150,2,88,43,+45,59.3,14,36.8,81,3,4,1,71.6,68.9,+29.6,+30.8,53.5,46.8,+12.4,+12.1,+10.5,0.12,589,0.14,0.42,194,32.9,16.0,16
18,2022-2023,Newcastle Utd,eng Premier League,71.9,38,19,14,5,71,1.87,3420,155,4,68,33,+35,52.3,14,36.8,58,6,6,0,71.9,67.3,+32.3,+31.6,51.8,45.0,-7.9,-9.3,-9.8,0.12,565,0.10,0.32,184,32.6,15.6,15
19,2022-2023,Brighton,eng Premier League,73.3,38,18,8,12,62,1.63,3420,143,6,72,53,+19,60.2,12,31.6,62,6,6,0,73.3,68.9,+23.1,+25.2,52.2,44.7,-5.3,-6.9,-6.2,0.12,607,0.10,0.28,219,36.1,16.8,12
20,2022-2023,Manchester City,eng Premier League,78.6,38,28,5,5,89,2.34,3420,123,1,94,33,+61,64.7,13,34.2,83,9,10,1,78.6,71.1,+46.5,+41.3,57.5,57.6,+13.4,+11.9,+11.5,0.12,590,0.14,0.40,205,34.7,16.6,20
