company_id	company_name	total_revenue	fashion_style	company_regions	company_operated_retail_stores	founding_year	country_of_origin	years	revenue
4	Levi's	5155833333	CASUAL WEAR.	Americas, Europe, Asia, Middle East & Africa.	97.66666667	1853	California, USA.	company_revenue_2012	4610000000
4	Levi's	5155833333	CASUAL WEAR.	Americas, Europe, Asia, Middle East & Africa.	97.66666667	1853	California, USA.	company_revenue_2013	4680000000
4	Levi's	5155833333	CASUAL WEAR.	Americas, Europe, Asia, Middle East & Africa.	97.66666667	1853	California, USA.	company_revenue_2014	4750000000
4	Levi's	5155833333	CASUAL WEAR.	Americas, Europe, Asia, Middle East & Africa.	97.66666667	1853	California, USA.	company_revenue_2015	4490000000
4	Levi's	5155833333	CASUAL WEAR.	Americas, Europe, Asia, Middle East & Africa.	97.66666667	1853	California, USA.	company_revenue_2016	4550000000
4	Levi's	5155833333	CASUAL WEAR.	Americas, Europe, Asia, Middle East & Africa.	97.66666667	1853	California, USA.	company_revenue_2017	4900000000
4	Levi's	5155833333	CASUAL WEAR.	Americas, Europe, Asia, Middle East & Africa.	97.66666667	1853	California, USA.	company_revenue_2018	5570000000
4	Levi's	5155833333	CASUAL WEAR.	Americas, Europe, Asia, Middle East & Africa.	97.66666667	1853	California, USA.	company_revenue_2019	5760000000
4	Levi's	5155833333	CASUAL WEAR.	Americas, Europe, Asia, Middle East & Africa.	97.66666667	1853	California, USA.	company_revenue_2020	4450000000
4	Levi's	5155833333	CASUAL WEAR.	Americas, Europe, Asia, Middle East & Africa.	97.66666667	1853	California, USA.	company_revenue_2021	5760000000
4	Levi's	5155833333	CASUAL WEAR.	Americas, Europe, Asia, Middle East & Africa.	97.66666667	1853	California, USA.	company_revenue_2022	6170000000
4	Levi's	5155833333	CASUAL WEAR.	Americas, Europe, Asia, Middle East & Africa.	97.66666667	1853	California, USA.	company_revenue_2023	6180000000
5	Tommy Hilfiger	3898177500	CASUAL WEAR	Europe, North America, South america, Asia-Pacific, Middle East, Africa, Latin America.	167.0833333	1985	New York, USA.	company_revenue_2012	3131550000
5	Tommy Hilfiger	3898177500	CASUAL WEAR	Europe, North America, South america, Asia-Pacific, Middle East, Africa, Latin America.	167.0833333	1985	New York, USA.	company_revenue_2013	3340380000
5	Tommy Hilfiger	3898177500	CASUAL WEAR	Europe, North America, South america, Asia-Pacific, Middle East, Africa, Latin America.	167.0833333	1985	New York, USA.	company_revenue_2014	3582000000
5	Tommy Hilfiger	3898177500	CASUAL WEAR	Europe, North America, South america, Asia-Pacific, Middle East, Africa, Latin America.	167.0833333	1985	New York, USA.	company_revenue_2015	3370000000
5	Tommy Hilfiger	3898177500	CASUAL WEAR	Europe, North America, South america, Asia-Pacific, Middle East, Africa, Latin America.	167.0833333	1985	New York, USA.	company_revenue_2016	3511000000
5	Tommy Hilfiger	3898177500	CASUAL WEAR	Europe, North America, South america, Asia-Pacific, Middle East, Africa, Latin America.	167.0833333	1985	New York, USA.	company_revenue_2017	3893200000
5	Tommy Hilfiger	3898177500	CASUAL WEAR	Europe, North America, South america, Asia-Pacific, Middle East, Africa, Latin America.	167.0833333	1985	New York, USA.	company_revenue_2018	4150000000
5	Tommy Hilfiger	3898177500	CASUAL WEAR	Europe, North America, South america, Asia-Pacific, Middle East, Africa, Latin America.	167.0833333	1985	New York, USA.	company_revenue_2019	4360000000
5	Tommy Hilfiger	3898177500	CASUAL WEAR	Europe, North America, South america, Asia-Pacific, Middle East, Africa, Latin America.	167.0833333	1985	New York, USA.	company_revenue_2020	3700000000
5	Tommy Hilfiger	3898177500	CASUAL WEAR	Europe, North America, South america, Asia-Pacific, Middle East, Africa, Latin America.	167.0833333	1985	New York, USA.	company_revenue_2021	4330000000
5	Tommy Hilfiger	3898177500	CASUAL WEAR	Europe, North America, South america, Asia-Pacific, Middle East, Africa, Latin America.	167.0833333	1985	New York, USA.	company_revenue_2022	4610000000
5	Tommy Hilfiger	3898177500	CASUAL WEAR	Europe, North America, South america, Asia-Pacific, Middle East, Africa, Latin America.	167.0833333	1985	New York, USA.	company_revenue_2023	4800000000
6	Ralph Lauren	6554166666	PREPPY	North America, Europe, Asia	47	1967	New York City, USA.	company_revenue_2012	6860000000
6	Ralph Lauren	6554166666	PREPPY	North America, Europe, Asia	47	1967	New York City, USA.	company_revenue_2013	6950000000
6	Ralph Lauren	6554166666	PREPPY	North America, Europe, Asia	47	1967	New York City, USA.	company_revenue_2014	7450000000
6	Ralph Lauren	6554166666	PREPPY	North America, Europe, Asia	47	1967	New York City, USA.	company_revenue_2015	7620000000
6	Ralph Lauren	6554166666	PREPPY	North America, Europe, Asia	47	1967	New York City, USA.	company_revenue_2016	7410000000
6	Ralph Lauren	6554166666	PREPPY	North America, Europe, Asia	47	1967	New York City, USA.	company_revenue_2017	6650000000
6	Ralph Lauren	6554166666	PREPPY	North America, Europe, Asia	47	1967	New York City, USA.	company_revenue_2018	6180000000
6	Ralph Lauren	6554166666	PREPPY	North America, Europe, Asia	47	1967	New York City, USA.	company_revenue_2019	6310000000
6	Ralph Lauren	6554166666	PREPPY	North America, Europe, Asia	47	1967	New York City, USA.	company_revenue_2020	6160000000
6	Ralph Lauren	6554166666	PREPPY	North America, Europe, Asia	47	1967	New York City, USA.	company_revenue_2021	4400000000
6	Ralph Lauren	6554166666	PREPPY	North America, Europe, Asia	47	1967	New York City, USA.	company_revenue_2022	6220000000
6	Ralph Lauren	6554166666	PREPPY	North America, Europe, Asia	47	1967	New York City, USA.	company_revenue_2023	6440000000
7	H&M	20583333333	FAST FASHION	Europe & Africa, Asia, Oceania & Africa, North & South America	364.0833333	1947	Västerås,Sweden.	company_revenue_2012	16400000000
7	H&M	20583333333	FAST FASHION	Europe & Africa, Asia, Oceania & Africa, North & South America	364.0833333	1947	Västerås,Sweden.	company_revenue_2013	17190000000
7	H&M	20583333333	FAST FASHION	Europe & Africa, Asia, Oceania & Africa, North & South America	364.0833333	1947	Västerås,Sweden.	company_revenue_2014	18290000000
7	H&M	20583333333	FAST FASHION	Europe & Africa, Asia, Oceania & Africa, North & South America	364.0833333	1947	Västerås,Sweden.	company_revenue_2015	20280000000
7	H&M	20583333333	FAST FASHION	Europe & Africa, Asia, Oceania & Africa, North & South America	364.0833333	1947	Västerås,Sweden.	company_revenue_2016	22030000000
7	H&M	20583333333	FAST FASHION	Europe & Africa, Asia, Oceania & Africa, North & South America	364.0833333	1947	Västerås,Sweden.	company_revenue_2017	22240000000
